DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Protein presence (refined)
COLOR	#000000
STRIP_WIDTH	30
MARGIN	10
BORDER_WIDTH	0
LEGEND_TITLE	Architectural ortholog
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#2ca02c	#ff7f0e	#d62728
LEGEND_LABELS	Present	Possible (truncated)	Absent
DATA
GB_GCA_029260855.1	#2ca02c	Present (high-confidence)
GB_GCA_963530815.1	#2ca02c	Present (high-confidence)
GB_GCA_964641545.1	#2ca02c	Present (high-confidence)
GB_GCA_029288515.1	#2ca02c	Present (high-confidence)
GB_GCA_035479215.1	#d62728	Absent
GB_GCA_039931245.1	#2ca02c	Present (high-confidence)
GB_GCA_964609815.1	#2ca02c	Present (high-confidence)
GB_GCA_965225085.1	#2ca02c	Present (high-confidence)
GB_GCA_964550995.1	#d62728	Absent
GB_GCA_964578645.1	#d62728	Absent
GB_GCA_938036785.1	#2ca02c	Present (high-confidence)
GB_GCA_905373385.1	#d62728	Absent
GB_GCA_964390265.1	#2ca02c	Present (high-confidence)
GB_GCA_963535445.1	#2ca02c	Present (high-confidence)
GB_GCA_947304135.1	#d62728	Absent
GB_GCA_030530385.1	#d62728	Absent
GB_GCA_020639315.1	#d62728	Absent
GB_GCA_964508115.1	#d62728	Absent
GB_GCA_017404795.1	#d62728	Absent
GB_GCA_036507655.1	#d62728	Absent
GB_GCA_016699895.1	#2ca02c	Present (high-confidence)
GB_GCA_964534725.1	#2ca02c	Present (high-confidence)
GB_GCA_964391595.1	#d62728	Absent
GB_GCA_937859515.1	#d62728	Absent
GB_GCA_035525115.1	#2ca02c	Present (high-confidence)
GB_GCA_903821365.1	#2ca02c	Present (high-confidence)
GB_GCA_963623485.1	#d62728	Absent
GB_GCA_040386175.1	#2ca02c	Present (high-confidence)
GB_GCA_963542105.1	#2ca02c	Present (high-confidence)
GB_GCA_030445245.1	#2ca02c	Present (high-confidence)
GB_GCA_946186455.1	#d62728	Absent
GB_GCA_045578525.1	#d62728	Absent
GB_GCA_017421685.1	#d62728	Absent
GB_GCA_964394925.1	#2ca02c	Present (high-confidence)
GB_GCA_964604415.1	#2ca02c	Present (high-confidence)
GB_GCA_035546935.1	#2ca02c	Present (high-confidence)
GB_GCA_965245025.1	#d62728	Absent
GB_GCA_038230095.1	#2ca02c	Present (high-confidence)
GB_GCA_035550295.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964293235.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_036826295.1	#2ca02c	Present (high-confidence)
GB_GCA_052034955.1	#2ca02c	Present (high-confidence)
GB_GCA_019347895.1	#2ca02c	Present (high-confidence)
GB_GCA_035688135.1	#d62728	Absent
GB_GCA_947166125.1	#d62728	Absent
GB_GCA_964574915.1	#2ca02c	Present (high-confidence)
GB_GCA_937902525.1	#2ca02c	Present (high-confidence)
GB_GCA_002413425.1	#2ca02c	Present (high-confidence)
GB_GCA_963528515.1	#2ca02c	Present (high-confidence)
GB_GCA_964573355.1	#2ca02c	Present (high-confidence)
GB_GCA_964588395.1	#2ca02c	Present (high-confidence)
GB_GCA_037140095.1	#2ca02c	Present (high-confidence)
GB_GCA_963810525.1	#2ca02c	Present (high-confidence)
GB_GCA_028288985.1	#2ca02c	Present (high-confidence)
GB_GCA_025349965.1	#2ca02c	Present (high-confidence)
GB_GCA_017418275.1	#d62728	Absent
GB_GCA_964428955.1	#2ca02c	Present (high-confidence)
GB_GCA_021847685.1	#2ca02c	Present (high-confidence)
GB_GCA_037200105.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_044227625.1	#2ca02c	Present (high-confidence)
GB_GCA_017406775.1	#d62728	Absent
GB_GCA_948868795.1	#d62728	Absent
GB_GCA_903840315.1	#2ca02c	Present (high-confidence)
GB_GCA_016199685.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_905373275.1	#d62728	Absent
GB_GCA_947085495.1	#2ca02c	Present (high-confidence)
GB_GCA_016866755.1	#2ca02c	Present (high-confidence)
GB_GCA_937951635.1	#d62728	Absent
GB_GCA_963521715.1	#2ca02c	Present (high-confidence)
GB_GCA_964530725.1	#2ca02c	Present (high-confidence)
GB_GCA_947307355.1	#d62728	Absent
GB_GCA_002381485.1	#2ca02c	Present (high-confidence)
GB_GCA_963609155.1	#d62728	Absent
GB_GCA_017460625.1	#d62728	Absent
GB_GCA_937871805.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_002393165.1	#d62728	Absent
GB_GCA_017406405.1	#d62728	Absent
GB_GCA_964593165.1	#2ca02c	Present (high-confidence)
GB_GCA_044228355.1	#2ca02c	Present (high-confidence)
GB_GCA_044449985.1	#2ca02c	Present (high-confidence)
GB_GCA_016789655.1	#2ca02c	Present (high-confidence)
GB_GCA_035650795.1	#d62728	Absent
GB_GCA_017433245.1	#d62728	Absent
GB_GCA_049288955.1	#2ca02c	Present (high-confidence)
GB_GCA_021850865.1	#d62728	Absent
GB_GCA_937996675.1	#2ca02c	Present (high-confidence)
GB_GCA_964429055.1	#d62728	Absent
GB_GCA_015257605.1	#2ca02c	Present (high-confidence)
GB_GCA_964367775.1	#2ca02c	Present (high-confidence)
GB_GCA_934700415.1	#d62728	Absent
GB_GCA_027449805.1	#d62728	Absent
GB_GCA_947425085.1	#d62728	Absent
RS_GCF_004151455.1	#d62728	Absent
GB_GCA_044228525.1	#2ca02c	Present (high-confidence)
GB_GCA_045544765.1	#d62728	Absent
GB_GCA_002441585.1	#2ca02c	Present (high-confidence)
GB_GCA_964538665.1	#2ca02c	Present (high-confidence)
GB_GCA_938002925.1	#d62728	Absent
GB_GCA_041742875.1	#2ca02c	Present (high-confidence)
GB_GCA_007845355.1	#2ca02c	Present (high-confidence)
GB_GCA_963543945.1	#d62728	Absent
GB_GCA_965652795.1	#2ca02c	Present (high-confidence)
GB_GCA_043731125.1	#d62728	Absent
GB_GCA_030528995.1	#d62728	Absent
GB_GCA_963512515.1	#d62728	Absent
GB_GCA_017406905.1	#d62728	Absent
GB_GCA_963527295.1	#2ca02c	Present (high-confidence)
GB_GCA_020631905.1	#2ca02c	Present (high-confidence)
GB_GCA_964552745.1	#2ca02c	Present (high-confidence)
GB_GCA_902761145.1	#d62728	Absent
GB_GCA_964633435.1	#d62728	Absent
GB_GCA_963534385.1	#d62728	Absent
GB_GCA_963526465.1	#d62728	Absent
GB_GCA_002371235.1	#d62728	Absent
GB_GCA_027450065.1	#2ca02c	Present (high-confidence)
GB_GCA_036826335.1	#2ca02c	Present (high-confidence)
GB_GCA_964503775.1	#2ca02c	Present (high-confidence)
GB_GCA_964654135.1	#2ca02c	Present (high-confidence)
GB_GCA_030445265.1	#d62728	Absent
GB_GCA_036263915.1	#2ca02c	Present (high-confidence)
GB_GCA_017432305.1	#d62728	Absent
GB_GCA_964600985.1	#2ca02c	Present (high-confidence)
GB_GCA_964539035.1	#2ca02c	Present (high-confidence)
GB_GCA_947302975.1	#d62728	Absent
GB_GCA_036276795.1	#2ca02c	Present (high-confidence)
GB_GCA_937990205.1	#d62728	Absent
GB_GCA_964640775.1	#2ca02c	Present (high-confidence)
GB_GCA_036488585.1	#2ca02c	Present (high-confidence)
GB_GCA_045634665.1	#d62728	Absent
GB_GCA_937872185.1	#2ca02c	Present (high-confidence)
GB_GCA_014379635.1	#2ca02c	Present (high-confidence)
GB_GCA_001790525.1	#d62728	Absent
GB_GCA_963554165.1	#2ca02c	Present (high-confidence)
GB_GCA_964492805.1	#2ca02c	Present (high-confidence)
GB_GCA_964454245.1	#2ca02c	Present (high-confidence)
GB_GCA_002331045.1	#2ca02c	Present (high-confidence)
GB_GCA_964349985.1	#2ca02c	Present (high-confidence)
GB_GCA_038234505.1	#2ca02c	Present (high-confidence)
GB_GCA_049661165.1	#2ca02c	Present (high-confidence)
GB_GCA_948435375.1	#d62728	Absent
GB_GCA_035478715.1	#2ca02c	Present (high-confidence)
GB_GCA_035546815.1	#2ca02c	Present (high-confidence)
GB_GCA_050486185.1	#2ca02c	Present (high-confidence)
GB_GCA_037138815.1	#d62728	Absent
GB_GCA_035479615.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_938045655.1	#d62728	Absent
GB_GCA_964440265.1	#2ca02c	Present (high-confidence)
GB_GCA_034677945.1	#2ca02c	Present (high-confidence)
GB_GCA_026707815.1	#d62728	Absent
GB_GCA_964625845.1	#d62728	Absent
GB_GCA_039920385.1	#2ca02c	Present (high-confidence)
GB_GCA_964617855.1	#d62728	Absent
GB_GCA_036569465.1	#2ca02c	Present (high-confidence)
GB_GCA_027451185.1	#2ca02c	Present (high-confidence)
GB_GCA_013100805.1	#2ca02c	Present (high-confidence)
GB_GCA_030917025.1	#2ca02c	Present (high-confidence)
GB_GCA_041649215.1	#2ca02c	Present (high-confidence)
GB_GCA_013099195.1	#2ca02c	Present (high-confidence)
GB_GCA_041747695.1	#d62728	Absent
GB_GCA_947165975.1	#d62728	Absent
GB_GCA_007131065.1	#d62728	Absent
GB_GCA_946406645.1	#d62728	Absent
GB_GCA_964461505.1	#d62728	Absent
GB_GCA_966210935.1	#2ca02c	Present (high-confidence)
GB_GCA_948511255.1	#d62728	Absent
GB_GCA_002429485.1	#2ca02c	Present (high-confidence)
GB_GCA_963517285.1	#2ca02c	Present (high-confidence)
GB_GCA_045541215.1	#d62728	Absent
GB_GCA_039809165.1	#2ca02c	Present (high-confidence)
GB_GCA_964491925.1	#2ca02c	Present (high-confidence)
GB_GCA_017431725.1	#d62728	Absent
GB_GCA_963815935.1	#2ca02c	Present (high-confidence)
GB_GCA_963519435.1	#2ca02c	Present (high-confidence)
GB_GCA_045657985.1	#d62728	Absent
GB_GCA_045597305.1	#d62728	Absent
GB_GCA_966210965.1	#2ca02c	Present (high-confidence)
GB_GCA_964581595.1	#d62728	Absent
GB_GCA_963526625.1	#d62728	Absent
GB_GCA_017531585.1	#d62728	Absent
GB_GCA_013333495.2	#2ca02c	Present (high-confidence)
GB_GCA_964494545.1	#2ca02c	Present (high-confidence)
GB_GCA_016699105.1	#d62728	Absent
GB_GCA_045615385.1	#d62728	Absent
GB_GCA_964557405.1	#d62728	Absent
GB_GCA_030427125.1	#d62728	Absent
GB_GCA_963538065.1	#d62728	Absent
GB_GCA_023261595.1	#2ca02c	Present (high-confidence)
GB_GCA_964483955.1	#2ca02c	Present (high-confidence)
GB_GCA_963553545.1	#2ca02c	Present (high-confidence)
GB_GCA_963526735.1	#d62728	Absent
GB_GCA_948288625.1	#2ca02c	Present (high-confidence)
GB_GCA_004136275.1	#d62728	Absent
GB_GCA_041906885.1	#2ca02c	Present (high-confidence)
GB_GCA_938018005.1	#2ca02c	Present (high-confidence)
GB_GCA_964475445.1	#d62728	Absent
GB_GCA_964369045.1	#2ca02c	Present (high-confidence)
GB_GCA_030645815.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_903859365.1	#d62728	Absent
GB_GCA_035317765.1	#2ca02c	Present (high-confidence)
GB_GCA_036526215.1	#d62728	Absent
GB_GCA_964590315.1	#2ca02c	Present (high-confidence)
GB_GCA_047611885.1	#2ca02c	Present (high-confidence)
GB_GCA_963515045.1	#2ca02c	Present (high-confidence)
GB_GCA_002404195.1	#2ca02c	Present (high-confidence)
GB_GCA_963707285.1	#2ca02c	Present (high-confidence)
RS_GCF_018866205.1	#2ca02c	Present (high-confidence)
GB_GCA_964527385.1	#d62728	Absent
GB_GCA_964489075.1	#2ca02c	Present (high-confidence)
RS_GCF_022828325.1	#2ca02c	Present (high-confidence)
GB_GCA_964514575.1	#d62728	Absent
GB_GCA_963543745.1	#d62728	Absent
GB_GCA_021788675.1	#2ca02c	Present (high-confidence)
GB_GCA_007845165.1	#d62728	Absent
GB_GCA_045641865.1	#d62728	Absent
GB_GCA_964484675.1	#2ca02c	Present (high-confidence)
GB_GCA_963526965.1	#2ca02c	Present (high-confidence)
GB_GCA_041737385.1	#2ca02c	Present (high-confidence)
GB_GCA_030530605.1	#d62728	Absent
GB_GCA_963528875.1	#d62728	Absent
GB_GCA_934717805.1	#d62728	Absent
GB_GCA_964593805.1	#2ca02c	Present (high-confidence)
GB_GCA_035576845.1	#2ca02c	Present (high-confidence)
GB_GCA_017510705.1	#d62728	Absent
GB_GCA_021777375.1	#2ca02c	Present (high-confidence)
GB_GCA_964448075.1	#2ca02c	Present (high-confidence)
GB_GCA_964513905.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_016196195.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_017510425.1	#d62728	Absent
GB_GCA_003164595.1	#2ca02c	Present (high-confidence)
GB_GCA_964402915.1	#d62728	Absent
GB_GCA_964480855.1	#d62728	Absent
GB_GCA_021404905.1	#2ca02c	Present (high-confidence)
GB_GCA_946409745.1	#d62728	Absent
GB_GCA_964460285.1	#d62728	Absent
GB_GCA_017511405.1	#d62728	Absent
GB_GCA_028289245.1	#2ca02c	Present (high-confidence)
GB_GCA_964499935.1	#2ca02c	Present (high-confidence)
GB_GCA_948571325.1	#d62728	Absent
GB_GCA_017561835.1	#d62728	Absent
GB_GCA_020428465.1	#2ca02c	Present (high-confidence)
GB_GCA_964477925.1	#2ca02c	Present (high-confidence)
GB_GCA_937875955.1	#2ca02c	Present (high-confidence)
GB_GCA_964620175.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_958399925.1	#d62728	Absent
GB_GCA_013333675.2	#2ca02c	Present (high-confidence)
GB_GCA_964610335.1	#2ca02c	Present (high-confidence)
GB_GCA_964648105.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_947425245.1	#d62728	Absent
GB_GCA_964584145.1	#d62728	Absent
GB_GCA_963539815.1	#2ca02c	Present (high-confidence)
GB_GCA_017405265.1	#d62728	Absent
GB_GCA_016699955.1	#2ca02c	Present (high-confidence)
GB_GCA_964349645.1	#d62728	Absent
GB_GCA_964574585.1	#2ca02c	Present (high-confidence)
GB_GCA_002299795.1	#2ca02c	Present (high-confidence)
GB_GCA_035692985.1	#2ca02c	Present (high-confidence)
GB_GCA_905372275.1	#2ca02c	Present (high-confidence)
GB_GCA_036388095.1	#2ca02c	Present (high-confidence)
GB_GCA_964625245.1	#d62728	Absent
GB_GCA_963533665.1	#2ca02c	Present (high-confidence)
GB_GCA_943353705.1	#2ca02c	Present (high-confidence)
GB_GCA_044449925.1	#d62728	Absent
GB_GCA_029565375.1	#2ca02c	Present (high-confidence)
GB_GCA_966211425.1	#2ca02c	Present (high-confidence)
GB_GCA_964613485.1	#2ca02c	Present (high-confidence)
GB_GCA_964540445.1	#2ca02c	Present (high-confidence)
GB_GCA_030530825.1	#d62728	Absent
GB_GCA_964494845.1	#2ca02c	Present (high-confidence)
GB_GCA_963528915.1	#2ca02c	Present (high-confidence)
GB_GCA_964638825.1	#d62728	Absent
GB_GCA_001003725.1	#2ca02c	Present (high-confidence)
GB_GCA_023391075.1	#2ca02c	Present (high-confidence)
GB_GCA_009785325.1	#d62728	Absent
GB_GCA_964533425.1	#d62728	Absent
GB_GCA_021810025.1	#2ca02c	Present (high-confidence)
GB_GCA_905373345.1	#2ca02c	Present (high-confidence)
GB_GCA_031266275.1	#d62728	Absent
GB_GCA_027371845.1	#2ca02c	Present (high-confidence)
GB_GCA_963456685.1	#2ca02c	Present (high-confidence)
GB_GCA_938028605.1	#d62728	Absent
GB_GCA_035478435.1	#2ca02c	Present (high-confidence)
GB_GCA_049644865.1	#2ca02c	Present (high-confidence)
GB_GCA_964621655.1	#d62728	Absent
GB_GCA_964634445.1	#2ca02c	Present (high-confidence)
GB_GCA_041691795.1	#2ca02c	Present (high-confidence)
GB_GCA_002793885.1	#2ca02c	Present (high-confidence)
GB_GCA_027325485.1	#2ca02c	Present (high-confidence)
GB_GCA_018060465.1	#d62728	Absent
GB_GCA_964529785.1	#2ca02c	Present (high-confidence)
GB_GCA_964621845.1	#2ca02c	Present (high-confidence)
GB_GCA_049294455.1	#d62728	Absent
GB_GCA_964510235.1	#2ca02c	Present (high-confidence)
GB_GCA_017516075.1	#d62728	Absent
GB_GCA_009777365.1	#d62728	Absent
GB_GCA_905373795.1	#2ca02c	Present (high-confidence)
GB_GCA_020626475.1	#d62728	Absent
GB_GCA_010014665.1	#2ca02c	Present (high-confidence)
GB_GCA_035479375.1	#2ca02c	Present (high-confidence)
GB_GCA_030535695.1	#d62728	Absent
GB_GCA_020428005.1	#2ca02c	Present (high-confidence)
GB_GCA_030529385.1	#2ca02c	Present (high-confidence)
GB_GCA_030530425.1	#d62728	Absent
GB_GCA_937876715.1	#d62728	Absent
RS_GCF_022828375.1	#2ca02c	Present (high-confidence)
GB_GCA_035280845.1	#2ca02c	Present (high-confidence)
GB_GCA_964384345.1	#2ca02c	Present (high-confidence)
GB_GCA_020428105.1	#2ca02c	Present (high-confidence)
GB_GCA_964442535.1	#d62728	Absent
GB_GCA_017514675.1	#d62728	Absent
GB_GCA_035690865.1	#2ca02c	Present (high-confidence)
GB_GCA_028286285.1	#2ca02c	Present (high-confidence)
GB_GCA_964447105.1	#2ca02c	Present (high-confidence)
GB_GCA_036526295.1	#2ca02c	Present (high-confidence)
GB_GCA_045541635.1	#d62728	Absent
GB_GCA_042642485.1	#d62728	Absent
GB_GCA_036782475.1	#2ca02c	Present (high-confidence)
GB_GCA_964236675.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964439975.1	#d62728	Absent
RS_GCF_030253515.1	#2ca02c	Present (high-confidence)
GB_GCA_031548885.1	#2ca02c	Present (high-confidence)
GB_GCA_043725845.1	#2ca02c	Present (high-confidence)
GB_GCA_916438855.1	#2ca02c	Present (high-confidence)
GB_GCA_963515375.1	#2ca02c	Present (high-confidence)
GB_GCA_009777315.1	#d62728	Absent
GB_GCA_003133385.1	#d62728	Absent
GB_GCA_013333515.2	#d62728	Absent
GB_GCA_016286785.1	#d62728	Absent
GB_GCA_035457485.1	#2ca02c	Present (high-confidence)
GB_GCA_035544015.1	#2ca02c	Present (high-confidence)
GB_GCA_037135295.1	#2ca02c	Present (high-confidence)
GB_GCA_021778755.1	#2ca02c	Present (high-confidence)
GB_GCA_964349795.1	#2ca02c	Present (high-confidence)
GB_GCA_964565615.1	#2ca02c	Present (high-confidence)
GB_GCA_002351365.1	#d62728	Absent
GB_GCA_964642275.1	#2ca02c	Present (high-confidence)
GB_GCA_004100325.1	#2ca02c	Present (high-confidence)
GB_GCA_027492465.1	#2ca02c	Present (high-confidence)
GB_GCA_903889015.1	#d62728	Absent
GB_GCA_937935245.1	#2ca02c	Present (high-confidence)
GB_GCA_963743435.1	#2ca02c	Present (high-confidence)
GB_GCA_037200465.1	#2ca02c	Present (high-confidence)
GB_GCA_963716945.1	#2ca02c	Present (high-confidence)
GB_GCA_035718045.1	#d62728	Absent
GB_GCA_964585425.1	#2ca02c	Present (high-confidence)
GB_GCA_947364965.1	#d62728	Absent
GB_GCA_045604885.1	#d62728	Absent
GB_GCA_023432445.1	#2ca02c	Present (high-confidence)
GB_GCA_038230895.1	#2ca02c	Present (high-confidence)
GB_GCA_963525145.1	#2ca02c	Present (high-confidence)
GB_GCA_002952755.1	#2ca02c	Present (high-confidence)
GB_GCA_020631975.1	#2ca02c	Present (high-confidence)
GB_GCA_004322265.1	#2ca02c	Present (high-confidence)
GB_GCA_964636435.1	#2ca02c	Present (high-confidence)
GB_GCA_938045495.1	#d62728	Absent
GB_GCA_029557395.1	#2ca02c	Present (high-confidence)
GB_GCA_964574245.1	#2ca02c	Present (high-confidence)
GB_GCA_964458165.1	#2ca02c	Present (high-confidence)
GB_GCA_964444775.1	#d62728	Absent
GB_GCA_031278275.1	#d62728	Absent
GB_GCA_038239685.1	#2ca02c	Present (high-confidence)
GB_GCA_964652125.1	#2ca02c	Present (high-confidence)
GB_GCA_963619335.1	#d62728	Absent
GB_GCA_035276765.1	#2ca02c	Present (high-confidence)
GB_GCA_045535655.1	#d62728	Absent
GB_GCA_039809105.1	#2ca02c	Present (high-confidence)
GB_GCA_015257705.1	#2ca02c	Present (high-confidence)
GB_GCA_964508535.1	#2ca02c	Present (high-confidence)
GB_GCA_021803105.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964582425.1	#d62728	Absent
GB_GCA_045615025.1	#d62728	Absent
GB_GCA_964587465.1	#2ca02c	Present (high-confidence)
GB_GCA_039738615.1	#d62728	Absent
GB_GCA_903900685.1	#d62728	Absent
GB_GCA_021848145.1	#2ca02c	Present (high-confidence)
GB_GCA_039916485.1	#2ca02c	Present (high-confidence)
GB_GCA_035480715.1	#d62728	Absent
GB_GCA_964566585.1	#d62728	Absent
GB_GCA_964573095.1	#2ca02c	Present (high-confidence)
GB_GCA_963531145.1	#2ca02c	Present (high-confidence)
GB_GCA_029288315.1	#2ca02c	Present (high-confidence)
GB_GCA_017510805.1	#d62728	Absent
GB_GCA_040903985.1	#d62728	Absent
GB_GCA_964570275.1	#2ca02c	Present (high-confidence)
GB_GCA_045604925.1	#d62728	Absent
RS_GCF_004138455.1	#d62728	Absent
GB_GCA_047974525.1	#d62728	Absent
GB_GCA_937976315.1	#2ca02c	Present (high-confidence)
GB_GCA_023263015.1	#d62728	Absent
GB_GCA_017515925.1	#d62728	Absent
GB_GCA_049293215.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_963539155.1	#2ca02c	Present (high-confidence)
GB_GCA_027315225.1	#2ca02c	Present (high-confidence)
GB_GCA_037134095.1	#2ca02c	Present (high-confidence)
GB_GCA_035697325.1	#2ca02c	Present (high-confidence)
GB_GCA_020427965.1	#2ca02c	Present (high-confidence)
GB_GCA_017480035.1	#d62728	Absent
GB_GCA_021781915.1	#d62728	Absent
GB_GCA_017455145.1	#d62728	Absent
GB_GCA_002413795.1	#2ca02c	Present (high-confidence)
GB_GCA_000503915.1	#2ca02c	Present (high-confidence)
GB_GCA_964498955.1	#2ca02c	Present (high-confidence)
GB_GCA_023260255.1	#2ca02c	Present (high-confidence)
GB_GCA_964602145.1	#2ca02c	Present (high-confidence)
GB_GCA_967755195.1	#2ca02c	Present (high-confidence)
GB_GCA_964535385.1	#d62728	Absent
GB_GCA_964549705.1	#2ca02c	Present (high-confidence)
GB_GCA_963519285.1	#2ca02c	Present (high-confidence)
GB_GCA_963613175.1	#d62728	Absent
GB_GCA_964490245.1	#d62728	Absent
GB_GCA_946414465.1	#d62728	Absent
GB_GCA_017459845.1	#d62728	Absent
GB_GCA_964554175.1	#d62728	Absent
GB_GCA_948663575.1	#d62728	Absent
GB_GCA_016700015.1	#2ca02c	Present (high-confidence)
GB_GCA_041907025.1	#2ca02c	Present (high-confidence)
GB_GCA_964585885.1	#d62728	Absent
GB_GCA_030523715.1	#d62728	Absent
GB_GCA_938050265.1	#d62728	Absent
GB_GCA_937873745.1	#2ca02c	Present (high-confidence)
GB_GCA_964351635.1	#2ca02c	Present (high-confidence)
GB_GCA_028286365.1	#2ca02c	Present (high-confidence)
GB_GCA_964641025.1	#2ca02c	Present (high-confidence)
GB_GCA_017511965.1	#d62728	Absent
GB_GCA_018127705.1	#2ca02c	Present (high-confidence)
GB_GCA_009777625.1	#2ca02c	Present (high-confidence)
GB_GCA_009786195.1	#2ca02c	Present (high-confidence)
GB_GCA_046597065.1	#2ca02c	Present (high-confidence)
GB_GCA_049276535.1	#2ca02c	Present (high-confidence)
GB_GCA_024699125.1	#d62728	Absent
GB_GCA_964478195.1	#2ca02c	Present (high-confidence)
GB_GCA_938046735.1	#d62728	Absent
GB_GCA_031262565.1	#d62728	Absent
GB_GCA_017515125.1	#d62728	Absent
GB_GCA_963517325.1	#d62728	Absent
GB_GCA_905372305.1	#2ca02c	Present (high-confidence)
GB_GCA_964603625.1	#d62728	Absent
GB_GCA_938030735.1	#d62728	Absent
GB_GCA_964533895.1	#2ca02c	Present (high-confidence)
GB_GCA_964388235.1	#d62728	Absent
GB_GCA_041740375.1	#2ca02c	Present (high-confidence)
GB_GCA_964547235.1	#d62728	Absent
GB_GCA_938044095.1	#d62728	Absent
GB_GCA_015257485.1	#d62728	Absent
GB_GCA_050730755.1	#d62728	Absent
GB_GCA_946187605.1	#d62728	Absent
GB_GCA_002441145.1	#d62728	Absent
GB_GCA_963545805.1	#d62728	Absent
GB_GCA_964544355.1	#2ca02c	Present (high-confidence)
GB_GCA_963456515.1	#d62728	Absent
GB_GCA_963619155.1	#d62728	Absent
GB_GCA_903952435.1	#2ca02c	Present (high-confidence)
GB_GCA_027493025.1	#2ca02c	Present (high-confidence)
GB_GCA_913775275.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_021781215.1	#2ca02c	Present (high-confidence)
GB_GCA_016219345.1	#2ca02c	Present (high-confidence)
GB_GCA_035248005.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964387505.1	#d62728	Absent
GB_GCA_017511865.1	#d62728	Absent
GB_GCA_964459795.1	#d62728	Absent
GB_GCA_009839685.1	#d62728	Absent
GB_GCA_937875905.1	#d62728	Absent
GB_GCA_947304075.1	#d62728	Absent
GB_GCA_963718045.1	#d62728	Absent
GB_GCA_021841155.1	#d62728	Absent
GB_GCA_038062805.1	#d62728	Absent
GB_GCA_025927655.1	#d62728	Absent
GB_GCA_964630185.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_964527845.1	#2ca02c	Present (high-confidence)
GB_GCA_905373315.1	#2ca02c	Present (high-confidence)
GB_GCA_030916945.1	#2ca02c	Present (high-confidence)
GB_GCA_035283865.1	#d62728	Absent
GB_GCA_017432025.1	#d62728	Absent
GB_GCA_963624235.1	#d62728	Absent
GB_GCA_002434005.1	#d62728	Absent
GB_GCA_036266515.1	#2ca02c	Present (high-confidence)
GB_GCA_045642865.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_017405345.1	#d62728	Absent
GB_GCA_021790875.1	#2ca02c	Present (high-confidence)
GB_GCA_023898665.1	#2ca02c	Present (high-confidence)
GB_GCA_038230395.1	#2ca02c	Present (high-confidence)
GB_GCA_021790005.1	#2ca02c	Present (high-confidence)
GB_GCA_964397855.1	#2ca02c	Present (high-confidence)
GB_GCA_963544935.1	#d62728	Absent
GB_GCA_027312165.1	#2ca02c	Present (high-confidence)
GB_GCA_030429445.1	#d62728	Absent
GB_GCA_017431945.1	#d62728	Absent
GB_GCA_964486985.1	#2ca02c	Present (high-confidence)
GB_GCA_938042055.1	#2ca02c	Present (high-confidence)
GB_GCA_963794235.1	#2ca02c	Present (high-confidence)
GB_GCA_021779755.1	#2ca02c	Present (high-confidence)
GB_GCA_963553685.1	#2ca02c	Present (high-confidence)
GB_GCA_963520855.1	#2ca02c	Present (high-confidence)
GB_GCA_036820845.1	#2ca02c	Present (high-confidence)
GB_GCA_013333595.2	#2ca02c	Present (high-confidence)
GB_GCA_947253995.1	#d62728	Absent
GB_GCA_964643605.1	#2ca02c	Present (high-confidence)
GB_GCA_964400155.1	#2ca02c	Present (high-confidence)
GB_GCA_964586395.1	#2ca02c	Present (high-confidence)
GB_GCA_037133995.1	#2ca02c	Present (high-confidence)
GB_GCA_036388555.1	#2ca02c	Present (high-confidence)
GB_GCA_964493045.1	#2ca02c	Present (high-confidence)
GB_GCA_028289095.1	#2ca02c	Present (high-confidence)
GB_GCA_963533595.1	#d62728	Absent
GB_GCA_964529615.1	#d62728	Absent
GB_GCA_038244585.1	#2ca02c	Present (high-confidence)
GB_GCA_023257755.1	#2ca02c	Present (high-confidence)
GB_GCA_031973215.1	#2ca02c	Present (high-confidence)
GB_GCA_937958235.1	#d62728	Absent
GB_GCA_003153395.1	#ff7f0e	Possible (truncated/partial)
GB_GCA_035479295.1	#2ca02c	Present (high-confidence)
GB_GCA_963522835.1	#2ca02c	Present (high-confidence)
GB_GCA_948851665.1	#d62728	Absent
GB_GCA_964492765.1	#d62728	Absent
GB_GCA_964425715.1	#2ca02c	Present (high-confidence)
